,House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
4899,7,Mitchell Plaza,Connor,Rowe,68,Head,Divorced,Male,Retired Building services engineer,None,Methodist
4900,8,Mitchell Plaza,Lee,Fisher,69,Head,Single,Male,Retired Leisure centre manager,None,Catholic
4901,9,Mitchell Plaza,Melanie,Hyde,77,Head,Single,Female,Retired Oncologist,None,Christian
4902,10,Mitchell Plaza,Stuart,Thorpe,58,Head,Single,Male,"Accountant, chartered management",None,Christian
4903,10,Mitchell Plaza,Glen,Long,51,None,Single,Male,Immigration officer,None,Christian
4904,10,Mitchell Plaza,Gerard,Lewis,54,None,Single,Male,Broadcast journalist,None,Methodist
4905,11,Mitchell Plaza,Mohammed,Harris,46,Head,Single,Male,"Psychotherapist, dance movement",None,Methodist
4906,12,Mitchell Plaza,Charlie,Phillips,32,Head,Single,Male,"Journalist, magazine",None,None
4907,13,Mitchell Plaza,William,Scott,53,Head,Single,Male,"Accountant, chartered certified",None,Christian
4908,13,Mitchell Plaza,Frances,Sanders,47,Partner,Single,Female,Quality manager,None,None
4909,14,Mitchell Plaza,Darren,Taylor,37,Head,Single,Male,Professor Emeritus,None,Christian
4910,14,Mitchell Plaza,Robert,Bryant,3,Step-Son,NA,Male,Child,None,NA
4911,15,Mitchell Plaza,Damian,Jones,77,Head,Widowed,Male,Retired Animal nutritionist,None,Christian
4912,16,Mitchell Plaza,Beth,Jones,58,Head,Married,f,Estate agent,None,Christian
4913,16,Mitchell Plaza,Robin,Jones,56,Husband,Married,Male,Planning and development surveyor,None,None
4914,16,Mitchell Plaza,Karen,Jones,36,Daughter,Divorced,Female,Manufacturing systems engineer,None,Christian
4915,17,Mitchell Plaza,Heather,Williams,62,Head,Single,Female,Management consultant,None,Christian
4916,18,Mitchell Plaza,Denis,Harvey,62,Head,Single,Male,Warehouse manager,None,Christian
4917,19,Mitchell Plaza,Amber,Bowen,49,Head,Divorced,Female,"Engineer, materials",None,Christian
4918,20,Mitchell Plaza,Albert,Miah,51,Head,Single,m,Public affairs consultant,None,Christian
4919,21,Mitchell Plaza,Mandy,Khan,64,Head,Divorced,Female,Adult guidance worker,None,Catholic
4920,21,Mitchell Plaza,Harriet,Khan,45,Daughter,Widowed,Female,"Engineer, energy",None,Catholic
4921,22,Mitchell Plaza,Darren,Russell,52,Head,Single,Male,Conference centre manager,None,None
4922,22,Mitchell Plaza,Andrea,Robinson,50,Partner,Single,Female,Child psychotherapist,None,None
4923,23,Mitchell Plaza,Phillip,Hayes,46,Head,Divorced,Male,Video editor,None,Catholic
4924,24,Mitchell Plaza,Aaron,Macdonald,97,Head,Single,Male,Retired Passenger transport manager,None,None
4925,25,Mitchell Plaza,Owen,Hall,47,Head,Single,Male,Legal executive,None,Catholic
4926,26,Mitchell Plaza,Luke,Holland,83,Head,Widowed,Male,Retired Merchant navy officer,None,Christian
4927,27,Mitchell Plaza,Colin,Parker,65,Head,Married,Male,Firefighter,None,None
4928,27,Mitchell Plaza,Carolyn,Barry,61,Wife,Married,Female,Copy,None,None
4929,27,Mitchell Plaza,Sally,Parker,17,Daughter,NA,Female,Student,None,NA
4930,28,Mitchell Plaza,Victoria,Miller,38,Head,Married,Female,Marketing executive,None,Muslim
4931,28,Mitchell Plaza,Andrew,Miller,38,Husband,Married,Male,Forensic psychologist,None,Muslim
4932,29,Mitchell Plaza,Barry,Howard,74,Head,Widowed,M,"Retired Psychologist, occupational",None,Methodist
4933,30,Mitchell Plaza,Declan,Manning,41,Head,Single,Male,"Administrator, charities/voluntary organisations",Physical Disability,Catholic
4934,31,Mitchell Plaza,Liam,Barnett,65,Head,Widowed,Male,Unemployed,None,Christian
4935,32,Mitchell Plaza,Fiona,Gill,55,Head,Single,Female,"Engineer, electronics",None,Catholic
4936,32,Mitchell Plaza,Julia,Gill,35,Daughter,Divorced,Female,Unemployed,None,None
4937,33,Mitchell Plaza,Charlene,Hopkins,31,Head,Married,Female,Management consultant,None,Methodist
4938,33,Mitchell Plaza,Toby,Hopkins,33,Husband,Married,Male,Publishing copy,None,Methodist
4939,34,Mitchell Plaza,Shannon,Coleman,51,Head,Divorced,Female,"Scientist, product/process development",None,Methodist
4940,34,Mitchell Plaza,Ryan,Coleman,10,Son,NA,Male,Student,None,NA
4941,35,Mitchell Plaza,Henry,Rogers,38,Head,Single,Male,Herpetologist,None,None
4942,35,Mitchell Plaza,Debra,Mills,21,None,Single,Female,University Student,None,Christian
4943,36,Mitchell Plaza,Jill,Newman,39,Head,Married,Female,Database administrator,None,Catholic
4944,36,Mitchell Plaza,Craig,Newman,44,Husband,Married,M,Unemployed,None,None
4945,36,Mitchell Plaza,Geoffrey,Newman,5,Son,NA,Male,Student,None,NA
4946,37,Mitchell Plaza,Denise,Dyer,46,Head,Divorced,Female,Retail manager,None,Christian
4947,38,Mitchell Plaza,Donald,Lawrence,63,Head,Married,Male,Arts administrator,None,Christian
4948,38,Mitchell Plaza,Shannon,Lawrence,61,Wife,Married,Female,Catering manager,None,None
4949,39,Mitchell Plaza,Sophie,Green,50,Head,Married,Female,Advertising account planner,None,None
4950,39,Mitchell Plaza,Damian,Green,52,Husband,Married,Male,Administrator,None,None
4951,39,Mitchell Plaza,Aaron,Green,16,Son,NA,Male,Student,None,NA
4952,40,Mitchell Plaza,Keith,Harris,35,Head,Single,m,Police officer,None,Catholic
4953,41,Mitchell Plaza,Beth,Gibson,48,Head,Divorced,Female,Community development worker,None,None
4954,41,Mitchell Plaza,Anthony,Webb-Gibson,26,Son,Single,Male,Social worker,None,None
4955,41,Mitchell Plaza,Joan,Webb-Gibson,24,Daughter,Divorced,Female,Cytogeneticist,None,None
4956,42,Mitchell Plaza,Jonathan,Webster,65,Head,Widowed,Male,Magazine journalist,None,None
4957,43,Mitchell Plaza,Andrea,Wilkins,73,Head,Married,Female,Retired Copy,None,None
4958,43,Mitchell Plaza,Declan,Wilkins,73,Husband,Married,Male,Retired Medical technical officer,None,None
4959,44,Mitchell Plaza,John,Fletcher,54,Head,Single,Male,Pension scheme manager,None,Catholic
4960,45,Mitchell Plaza,Pauline,Foster,43,Head,Single,Female,Printmaker,None,Methodist
4961,46,Mitchell Plaza,Jenna,Middleton,38,Head,Single,Female,Osteopath,None,Catholic
4962,46,Mitchell Plaza,Joel,O'Neill,32,None,Single,Male,Graphic designer,None,None
4963,46,Mitchell Plaza,Brett,Evans,22,None,Single,Male,University Student,None,None
4964,47,Mitchell Plaza,Jack,Burgess,85,Head,Widowed,Male,"Retired Designer, exhibition/display",None,Christian
4965,48,Mitchell Plaza,Toby,Davies,45,Head,Single,Male,"Scientist, physiological",None,Christian
4966,49,Mitchell Plaza,Charlotte,James,56,Head,Single,Female,Armed forces training and education officer,None,Christian
4967,50,Mitchell Plaza,Jennifer,Curtis,59,Head,Married,F,Chemical engineer,None,None
4968,50,Mitchell Plaza,Ross,Curtis,63,Husband,Married,Male,Air traffic controller,None,None
4969,51,Mitchell Plaza,Lorraine,Brooks,23,Head,Single,Female,Research scientist (life sciences), ,None
4970,52,Mitchell Plaza,Lesley,Anderson,53,Head,Single,Female,Unemployed,None,Methodist
4971,53,Mitchell Plaza,Joanne,Waters,32,Head,Married,Female,Graphic designer,None,None
4972,53,Mitchell Plaza,Matthew,Waters,34,Husband,Married,Male,"Administrator, Civil Service",None,None
4973,54,Mitchell Plaza,Annette,Jones,70,Head,Married,Female,Retired Museum education officer,None,Sikh
4974,54,Mitchell Plaza,Wayne,Jones,70,Husband,Married,Male,Retired Lawyer,None,Sikh
4975,55,Mitchell Plaza,Abigail,Shaw,43,Head,Single,Female,"Geneticist, molecular",None,Methodist
4976,55,Mitchell Plaza,Lorraine,Harris,34,None,Single,Female,Civil Service administrator,None,None
4977,56,Mitchell Plaza,Jonathan,Wall,84,Head,Single,male,Retired Cabin crew,None,Methodist
4978,57,Mitchell Plaza,Sarah,Jenkins,20,Head,Single,Female,University Student,None,Buddist
4979,57,Mitchell Plaza,Justin,Roberts,18,None,Single,Male,University Student,None,Methodist
4980,57,Mitchell Plaza,Valerie,Powell,19,None,Single,Female,University Student,None,Christian
4981,1,Wharf Drive,Ashleigh,Murphy,46,Head,Single,Female,Actor,None,Christian
4982,1,Wharf Drive,Charles,Day,51,None,Single,Male,"Teacher, adult education",None,Christian
4983,2,Wharf Drive,Leslie,Marshall,52,Head,Married,Male,"Designer, ceramics/pottery",None,None
4984,2,Wharf Drive,Lisa,Marshall,47,Wife,Married,Female,"Engineer, site",None,None
4985,2,Wharf Drive,Jemma,Marshall,18,Daughter,Single,Female,Student,None,None
4986,2,Wharf Drive,Jill,Marshall,16,Daughter,NA,Female,Student,None,NA
4987,3,Wharf Drive,Linda,Smith,41,Head,Widowed,Female,"Journalist, newspaper",None,None
4988,3,Wharf Drive,Tracey,Smith,11,Daughter,NA,Female,Student,None,NA
4989,3,Wharf Drive,Rosemary,Murray,9,Daughter,NA,Female,Student,None,NA
4990,3,Wharf Drive,Richard,Murray,2,Son,NA,Male,Child,None,NA
4991,4,Wharf Drive,Wendy,Day,53,Head,Married,Female,Tourism officer,None,None
4992,4,Wharf Drive,Wayne,Day,55,Husband,Married,Male,Armed forces technical officer,None,None
4993,4,Wharf Drive,Rosie,Day,26,Daughter,Single,Female,"Production designer, theatre/television/film",None,None
4994,4,Wharf Drive,Sandra,Day,23,Daughter,Divorced,Female,Amenity horticulturist,None,None
4995,4,Wharf Drive,Max,Day,20,Son,Single,Male,University Student,None,None
4996,4,Wharf Drive,Harry,Day,18,Son,Single,Male,Student,None,None
4997,4,Wharf Drive,Conor,Day,16,Son,NA,Male,Student,None,NA
4998,5,Wharf Drive,Kimberley,Smith,73,Head,Married,Female,"Retired Therapist, nutritional",None,Methodist
4999,5,Wharf Drive,Damien,Smith,75,Husband,Married,Male,Retired Records manager,None,None
5000,5,Wharf Drive,Mandy,Smith,20,Granddaughter,Single,Female,University Student,None,Methodist
5001,5,Wharf Drive,George,Smith,18,Grandson,Single,Male,Student,None,None
5002,6,Wharf Drive,Alison,Bradley,35,Head,Divorced,Female,Associate Professor,None,None
5003,6,Wharf Drive,Grace,Bradley,10,Daughter,NA,Female,Student,None,NA
5004,6,Wharf Drive,Beth,Bradley,9,Daughter,NA,Female,Student,None,NA
5005,6,Wharf Drive,Frances,Evans-Bradley,1,Daughter,NA,Female,Child,None,NA
5006,7,Wharf Drive,Harriet,Wells,68,Head,Widowed,Female,Unemployed,None,None
5007,7,Wharf Drive,Maria,Wells,47,Daughter,Single,Female,Nutritional therapist,None,None
5008,7,Wharf Drive,Margaret,Arnold-Wells,44,Daughter,Single,Female,Chief Operating Officer,None,None
5009,7,Wharf Drive,Kayleigh,Parker,44,Daughter,Divorced,Female,Chemical engineer,None,None
5010,8,Wharf Drive,Claire,Todd,18,Head,Single,Female,University Student,None,Christian
5011,8,Wharf Drive,Marcus,Morrison,22,None,Single,Male,University Student,None,Catholic
5012,8,Wharf Drive,Graeme,Cook,18,None,Single,Male,University Student,None,None
5013,8,Wharf Drive,Sandra,Freeman,19,None,Single,F,University Student,None,None
5014,9,Wharf Drive,Emma,Baker,47,Head,Divorced,Female,Unemployed,None,Christian
5015,9,Wharf Drive,Lisa,Baker,21,Daughter,Divorced,Female,University Student,None,Christian
5016,9,Wharf Drive,Jane,Baker,18,Daughter,Divorced,Female,Student,None,None
5017,9,Wharf Drive,Kim,Baker,16,Daughter,NA,Female,Student,None,NA
5018,10,Wharf Drive,Hayley,Woodward,35,Head,Married,Female,Paediatric nurse,None,Catholic
5019,10,Wharf Drive,Rhys,Woodward,35,Husband,Married,Male,Nutritional therapist,None,None
5020,10,Wharf Drive,Paige,Woodward,5,Daughter,NA,Female,Student,None,NA
5021,10,Wharf Drive,Heather,Woodward,4,Daughter,NA,Female,Child,None,NA
5022,11,Wharf Drive,Jeremy,Jones,48,Head,Single,Male,"Surveyor, minerals",None,Christian
5023,11,Wharf Drive,Francis,Phillips,18,None,Single,Male,Student,None,NA
5024,12,Wharf Drive,Harriet,Barber,35,Head,Married,Female,Sports administrator,None,None
5025,12,Wharf Drive,Garry,Barber,35,Husband,Married,Male,Chiropodist,None,None
5026,12,Wharf Drive,Peter,Barber,1,Son,NA,Male,Child,None,NA
5027,12,Wharf Drive,Kenneth,Barber,0,Son,NA,Male,Child,None,NA
5028,13,Wharf Drive,Stacey,Ball,36,Head,Divorced,Female,Technical author,None,Catholic
5029,13,Wharf Drive,Ellie,Ball,9,Daughter,NA,Female,Student,None,NA
5030,13,Wharf Drive,Lisa,Ball,8,Daughter,NA,Female,Student,None,NA
5031,13,Wharf Drive,Beth,Ball,6,Daughter,NA,Female,Student,None,NA
5032,14,Wharf Drive,Gary,Iqbal,26,Head,Single,m,Government social research officer,None,Catholic
5033,14,Wharf Drive,Fiona,Green,62,Cousin,Single,Female,"Programmer, systems",None,Christian
5034,14,Wharf Drive,Josh,Edwards,20,Lodger,Single,Male,University Student,None,Methodist
5035,14,Wharf Drive,Heather,Robinson,62,Lodger,Single,Female,"Administrator, education",None,None
5036,14,Wharf Drive,Marian,Carter,22,Lodger,Single,f,University Student,None,None
5037,14,Wharf Drive,Thomas,Jones,42,Lodger,Single,Male,"Restaurant manager, fast food",None,Catholic
5038,15,Wharf Drive,Judith,Martin,44,Head,Divorced,Female,"Designer, interior/spatial",None,None
5039,16,Wharf Drive,Paige,Jones,55,Head,Married,Female,IT consultant,None,None
5040,16,Wharf Drive,Kevin,Jones,57,Husband,Married,Male,Unemployed,None,None
5041,16,Wharf Drive,Elizabeth,Murphy-Jones,19,Daughter,Single,Female,University Student,None,None
5042,16,Wharf Drive,Hilary,Murphy-Jones,17,Daughter,NA,Female,Student,None,NA
5043,16,Wharf Drive,Roger,Murphy-Jones,15,Son,NA,Male,Student,None,NA
5044,17,Wharf Drive,Jemma,Roberts,57,Head,Single,Female,Teaching laboratory technician,None,Christian
5045,17,Wharf Drive,Joe,Roberts,17,Son,NA,male,Student,None,NA
5046,17,Wharf Drive,Conor,Roberts,16,Son,NA,Male,Student,None,NA
5047,18,Wharf Drive,Sheila,Baker,48,Head,Married,Female,Geochemist,None,Christian
5048,18,Wharf Drive,Joel,Baker,50,Husband,Married,Male,Pension scheme manager,None,Christian
5049,18,Wharf Drive,June,Baker,18,Step-Daughter,Single,Female,Student,None,None
5050,18,Wharf Drive,Jake,Howe,12,Step-Son,NA,Male,Student,None,NA
5051,18,Wharf Drive,Oliver,Howe,11,Step-Son,NA,Male,Student,None,NA
5052,19,Wharf Drive,Anthony,Morgan,46,Head,Married,Male,Dispensing optician,None,Christian
5053,19,Wharf Drive,Jennifer,Morgan,38,Wife,Married,Female,Commercial horticulturist,None,None
5054,19,Wharf Drive,Julia,Morgan,7,Granddaughter,NA,Female,Student,None,NA
5055,19,Wharf Drive,Harriet,Morgan,3,Granddaughter,NA,Female,Child,None,NA
5056,20,Wharf Drive,Graham,Clark,75,Head,Married,Male,Retired Garment/textile technologist,None,Christian
5057,20,Wharf Drive,Vanessa,Clark,69,Wife,Married,Female,Retired Paramedic,None,None
5058,21,Wharf Drive,Kathryn,Leach,63,Head,Married,Female,Unemployed,None,Catholic
5059,21,Wharf Drive,Gavin,Leach,62,Husband,Married,Male,Unemployed,None,None
5060,21,Wharf Drive,Stacey,Leach,38,Daughter,Single,Female,Unemployed,None,None
5061,21,Wharf Drive,Stephen,Leach,34,Son,Single,Male,Product manager,None,None
5062,22,Wharf Drive,Leslie,Kennedy,58,Head,Single,Male,"Pharmacist, hospital",None,None
5063,22,Wharf Drive,Chloe,Phillips,63,None,Single,Female,Chief Financial Officer,None,Christian
5064,22,Wharf Drive,Billy,Connolly,42,None,Single,M,Ranger/warden,None,None
5065,23,Wharf Drive,Diane,Owens,79,Head,Married,Female,Retired Rural practice surveyor,None,Christian
5066,23,Wharf Drive,Bradley,Owens,81,Husband,Married,Male,"Retired Presenter, broadcasting",None,None
5067,24,Wharf Drive,Lucy,Evans,54,Head,Single,Female,Marine scientist,None,Christian
5068,25,Wharf Drive,Allan,Shepherd,44,Head,Married,Male,Medical illustrator,None,Catholic
5069,25,Wharf Drive,Lynda,Shepherd,43,Wife,Married,Female,"Exhibitions officer, museum/gallery",None,Catholic
5070,25,Wharf Drive,Sian,Shepherd,9,Daughter,NA,Female,Student,None,NA
5071,25,Wharf Drive,Alice,Shepherd,7,Daughter,NA,Female,Student,None,NA
5072,26,Wharf Drive,Amanda,Clarke,53,Head,Single,Female,Sport and exercise psychologist,None,Christian
5073,26,Wharf Drive,Jake,Clarke,10,Grandson,NA,Male,Student,None,NA
5074,26,Wharf Drive,Maria,Taylor,9,Granddaughter,NA,Female,Student,None,NA
5075,26,Wharf Drive,Dominic,Taylor,5,Grandson,NA,Male,Student,None,NA
5076,27,Wharf Drive,Emily,Finch,55,Head,Married,Female,Data scientist,None,Christian
5077,27,Wharf Drive,Frank,Finch,54,Husband,Married,Male,"Therapist, horticultural",None,Christian
5078,27,Wharf Drive,Clare,Finch,23,Daughter,Single,Female,Herbalist,None,Christian
5079,27,Wharf Drive,Fiona,Finch,4,Daughter,NA,Female,Child,None,NA
5080,28,Wharf Drive,Melissa,Pearson,28,Head,Divorced,Female,Film/video editor,None,Catholic
5081,28,Wharf Drive,Jodie,Pearson,11,Daughter,NA,Female,Student,None,NA
5082,28,Wharf Drive,Gerard,Pearson,8,Son,NA,Male,Student,None,NA
5083,28,Wharf Drive,Elliott,Pearson,4,Son,NA,Male,Child,None,NA
5084,29,Wharf Drive,Terence,Jones,50,Head,Single,Male,Housing manager/officer,None,None
5085,29,Wharf Drive,Ruth,Jones,46,None,Single,Female,"Engineer, chemical",None,Christian
5086,29,Wharf Drive,Michael,Whitehead,47,None,Single,Male,TEFL teacher,None,Catholic
5087,29,Wharf Drive,Abdul,Singh,42,None,Single,Male,"Administrator, arts",None,None
5088,30,Wharf Drive,Marie,Williams,36,Head,Single,Female,Unemployed,None,None
5089,30,Wharf Drive,Marcus,Taylor,38,Partner,Single,Male,"Programmer, multimedia",None,None
5090,30,Wharf Drive,Charles,Williams,15,Son,NA,Male,Student,None,NA
5091,30,Wharf Drive,Alexandra,Williams,14,Daughter,NA,Female,Student,None,NA
5092,31,Wharf Drive,Bethan,Stevens,50,Head,Single,Female,"Copywriter, advertising",None,None
5093,31,Wharf Drive,Julian,Peacock,53,Partner,Single,Male,"Conservator, furniture",None,None
5094,31,Wharf Drive,Louise,Stevens,12,Daughter,NA,Female,Student,None,NA
5095,31,Wharf Drive,Jemma,Stevens,12,Daughter,NA,Female,Student,None,NA
5096,32,Wharf Drive,Dawn,Bell,43,Head,Single,Female,"Embryologist, clinical",None,Christian
5097,32,Wharf Drive,Julia,Bell,19,Daughter,Single,Female,University Student,None,Christian
5098,32,Wharf Drive,Stewart,Bell,14,Son,NA,Male,Student,None,NA
5099,32,Wharf Drive,Rita,Bell,11,Daughter,NA,Female,Student,None,NA
5100,33,Wharf Drive,Marilyn,Parker,52,Head,Single,Female,Tourism officer,None,Methodist
5101,34,Wharf Drive,Kate,Edwards,35,Head,Divorced,Female,Quality manager,None,None
5102,34,Wharf Drive,Joanne,Edwards,10,Step-Daughter,NA,Female,Student,None,NA
5103,34,Wharf Drive,Kathleen,Edwards,10,Step-Daughter,NA,Female,Student,None,NA
5104,34,Wharf Drive,Alexandra,Edwards,8,Step-Daughter,NA,Female,Student,None,NA
5105,35,Wharf Drive,Yvonne,Thomas,37,Head,Divorced,Female,Commissioning editor,None,Catholic
5106,35,Wharf Drive,Linda,Thomas,20,Daughter,Single,F,University Student,Unknown Infection,Catholic
5107,35,Wharf Drive,Bradley,Thomas,16,Son,NA,Male,Student,None,NA
5108,35,Wharf Drive,Howard,Thomas,13,Son,NA,Male,Student,None,NA
5109,36,Wharf Drive,Suzanne,Richardson,38,Head,Married,Female,Teaching laboratory technician,None,None
5110,36,Wharf Drive,Tony,Richardson,41,Husband,Married,Male,Unemployed,None,None
5111,36,Wharf Drive,Duncan,Smith-Richardson,2,Son,NA,Male,Child,None,NA
5112,37,Wharf Drive,Jemma,Bennett,22,Head,Single,Female,University Student,None,None
5113,37,Wharf Drive,Mohammad,Davies,19,None,Single,Male,University Student,None,None
5114,37,Wharf Drive,Clive,Shah,32,None,Single,Male,PhD Student,None,None
5115,37,Wharf Drive,Paige,Robinson,26,None,Single,Female,PhD Student,None,None
5116,37,Wharf Drive,Graeme,Brooks,21,None,Single,m,University Student,None,None
5117,38,Wharf Drive,Owen,Green,81,Head,Married,Male,Retired Garment/textile technologist,None,Christian
5118,38,Wharf Drive,Paige,Green,79,Wife,Married,Female,Retired Museum/gallery conservator,None,Christian
5119,38,Wharf Drive,Katherine,Green,59,Daughter,Married,Female,Dancer,None,Christian
5120,38,Wharf Drive,Conor,Green,57,Son-in-law,Married,Male,Hydrogeologist,None,Christian
5121,39,Wharf Drive,Declan,Ward-Heath,33,Head,Married,Male,"Solicitor, Scotland",None,Catholic
5122,39,Wharf Drive,Suzanne,Ward-Heath-Hewitt,31,Wife,Married,Female,Chief Strategy Officer,None,Catholic
5123,39,Wharf Drive,Timothy,Ward-Heath-Hewitt,1,Son,NA,Male,Child,None,NA
5124,39,Wharf Drive,Denise,Martin,55,Lodger,Single,Female,Occupational hygienist,None,None
5125,40,Wharf Drive,Fiona,Buckley,53,Head,Married,Female,"Accountant, chartered",None,Christian
5126,40,Wharf Drive,Ashley,Buckley,53,Husband,Married,Male,Dealer,None,None
5127,40,Wharf Drive,Kate,Buckley,17,Daughter,NA,Female,Student,None,NA
5128,40,Wharf Drive,Aimee,Buckley,14,Daughter,NA,Female,Student,None,NA
5129,40,Wharf Drive,Hollie,Buckley,7,Daughter,NA,Female,Student,None,NA
5130,41,Wharf Drive,Jill,Robson,65,Head,Widowed,Female,Midwife,None,None
5131,41,Wharf Drive,Rosemary,Robson,45,Daughter,Divorced,Female,Insurance risk surveyor,None,None
5132,41,Wharf Drive,Robin,Robson,44,Son,Single,Male,"Administrator, education",None,None
5133,41,Wharf Drive,Caroline,Robson,43,Adopted Daughter,Single,Female,Theatre director,None,None
5134,42,Wharf Drive,Holly,Curtis,55,Head,Married,female,Unemployed,None,Christian
5135,42,Wharf Drive,Brian,Curtis,57,Husband,Married,Male,Counsellor,None,None
5136,42,Wharf Drive,Louis,Curtis,14,Son,NA,Male,Student,None,NA
5137,42,Wharf Drive,Howard,Curtis,13,Son,NA,Male,Student,None,NA
5138,43,Wharf Drive,Paige,Campbell,46,Head,Divorced,Female,Unemployed,None,Christian
5139,43,Wharf Drive,Lee,Campbell,16,Son,NA,Male,Student,None,NA
5140,43,Wharf Drive,Clare,Campbell,14,Daughter,NA,Female,Student,None,NA
5141,43,Wharf Drive,John,Campbell,14,Son,NA,male,Student,None,NA
5142,44,Wharf Drive,Amber,Roberts,49,Head,Married,Female,Unemployed,None,Methodist
5143,44,Wharf Drive,Donald,Roberts,51,Husband,Married,Male,Special educational needs teacher,None,Methodist
5144,44,Wharf Drive,Jennifer,Roberts,22,Daughter,Single,Female,University Student,None,Methodist
5145,44,Wharf Drive,Anthony,Roberts,14,Son,NA,Male,Student,None,NA
5146,1,Murray Avenue,Sian,Carter,27,Head,Divorced,Female,"Scientist, research (physical sciences)",None,Methodist
5147,1,Murray Avenue,Christian,Carter,3,Son,NA,Male,Child,None,NA
5148,1,Murray Avenue,Leah,Sanders,20,Lodger,Single,Female,University Student,None,None
5149,2,Murray Avenue,Shane,Shaw,28,Head,Married,Male,"Engineer, drilling",None,Methodist
5150,2,Murray Avenue,Emily,Shaw,28,Wife,Married,Female,Textile designer,None,Methodist
5151,2,Murray Avenue,Gail,Shaw,10,Daughter,NA,Female,Student,None,NA
5152,3,Murray Avenue,Anna,Daniels,31,Head,Single,Female,"Surveyor, quantity",None,None
5153,3,Murray Avenue,Yvonne,Daniels,12,Daughter,NA,f,Student,None,NA
5154,4,Murray Avenue,Craig,Stevens,32,Head,Single,Male,Printmaker,None,None
5155,5,Murray Avenue,Kyle,Oliver,41,Head,Single,Male,Comptroller,None,Christian
5156,5,Murray Avenue,Jean,Collins,37,Partner,Single,Female,"Civil engineer, contracting",None,Christian
5157,6,Murray Avenue,Lindsey,Palmer,66,Head,Married,Female,Pathologist,None,Methodist
5158,6,Murray Avenue,Richard,Palmer,70,Husband,Married,Male,Retired Politician's assistant,None,Methodist
5159,7,Murray Avenue,Laura,Bennett,37,Head,Single,Female,Geochemist,None,Christian
5160,7,Murray Avenue,Antony,Bennett,13,Son,NA,Male,Student,None,NA
5161,8,Murray Avenue,Simon,Phillips,57,Head,Single,Male,Unemployed,None,Christian
5162,9,Murray Avenue,Martyn,Shaw,49,Head,Single,Male,"Engineer, agricultural",None,Catholic
5163,10,Murray Avenue,Keith,Carter,65,Head,Widowed,Male,Oncologist,None,Methodist
5164,11,Murray Avenue,Kathryn,Smith,75,Head,Divorced,Female,"Retired Engineer, biomedical",None,Christian
5165,12,Murray Avenue,Abigail,Freeman,54,Head,Married,Female,"Programmer, multimedia",None,Christian
5166,12,Murray Avenue,Mohamed,Freeman,55,Husband,Married,Male,Careers information officer,None,Christian
5167,12,Murray Avenue,Scott,Freeman,16,Son,NA,Male,Student,None,NA
5168,13,Murray Avenue,Shirley,Robinson,29,Head,Single,Female,Personal assistant,None,None
5169,14,Murray Avenue,Wendy,Barnes,20,Head,Single,Female,University Student,None,Muslim
5170,14,Murray Avenue,Stuart,Parkin,22,Partner,Single,m,University Student,None,Muslim
5171,15,Murray Avenue,Louis,Slater,28,Head,Single,Male,Hospital doctor,None,Christian
5172,15,Murray Avenue,Edward,Robinson,62,None,Single,Male,Tourist information centre manager,None,Methodist
5173,16,Murray Avenue,Hazel,Smith,47,Head,Single,Female,Newspaper journalist,None,Catholic
5174,17,Murray Avenue,Cheryl,Jones,44,Head,Married,Female,Unemployed,None,None
5175,17,Murray Avenue,Brett,Jones,49,Husband,Married,Male,Occupational hygienist,None,None
5176,17,Murray Avenue,Carolyn,Jones,16,Daughter,NA,Female,Student,None,NA
5177,18,Murray Avenue,Mohammed,Ward,47,Head,Single,Male,Health promotion specialist,None,Methodist
5178,18,Murray Avenue,Lynda,Miller,44,None,Single,Female,Wellsite geologist,None,Christian
5179,19,Murray Avenue,Leanne,Murphy,74,Head,Widowed,Female,Retired Science writer,None,Catholic
5180,20,Murray Avenue,Paul,Fisher,63,Head,Single,Male,Network engineer,None,Christian
5181,21,Murray Avenue,Naomi,Scott,30,Head,Single,Female,Unemployed,None,None
5182,22,Murray Avenue,Gail,Bishop,54,Head,Married,Female,Editorial assistant,None,Methodist
5183,22,Murray Avenue,Mathew,Bishop,54,Husband,Married,Male,Systems analyst,None,None
5184,22,Murray Avenue,Chloe,Bishop,31,Daughter,Divorced,Female,Garment/textile technologist,None,Methodist
5185,23,Murray Avenue,Georgina,Moss,80,Head,Divorced,Female,Retired Printmaker,None,Christian
5186,24,Murray Avenue,Joan,Clark,33,Head,Single,Female,"Teacher, English as a foreign language",None,Muslim
5187,25,Murray Avenue,Sheila,Gill,73,Head,Widowed,Female,Retired Control and instrumentation engineer,None,None
5188,26,Murray Avenue,Frances,Richardson,62,Head,Married,Female,"Engineer, automotive",None,Christian
5189,26,Murray Avenue,Stewart,Richardson,64,Husband,Married,Male,Chief Technology Officer,None,Christian
5190,27,Murray Avenue,Phillip,Bell,37,Head,Married,Male,Radio producer,None,Catholic
5191,27,Murray Avenue,Lynn,Bell,36,Wife,Married,Female,Horticultural therapist,None,None
5192,28,Murray Avenue,Oliver,O'Brien,37,Head,Single,Male,Unemployed,None,Catholic
5193,28,Murray Avenue,Cheryl,O'Brien,14,Daughter,NA,female,Student,None,NA
5194,29,Murray Avenue,Jenna,Lee,58,Head,Single,Female,Pensions consultant,None,None
